Banyan Valley Cave,Presence/Absence,
,Context,
Taxon,1a,
Sus scrofa jubatus,x,
Bibos gaurus ,x,
Muntiacus muntjak,x,
Axis porcinus,x,
Tragulus napu,x,
Capricornis sumatrensis/Nemorhaedus goral,x,
Cervus unicolor,x,
Didermocerus sumatrensis,x,
Rhinoceros sondaicus,x,
Presbytis sp. ,x,
Macaca sp. ,x,
Macaca assamensis ,x,
Presbytis cristata,x,
Hylobates sp. ,x,
Paradoxurus hermaphroditus ,x,
Selenarctos thibetanus ,x,
Arctonyz collaris ,x,
Lutra sp. ,x,
Cuon alpinus,x,
Petaurista petaurista,x,
Rhyzomys sumatrensis,x,
Hystryx sp. ,x,
Rattus sp. ,x,
Callosciurus sp. ,x,
Rhinolophus sp. ,x,
Megaderma sp. ,x,
Acrossocheilus sp. ,x,
Barbius sp. ,x,
Varanus salvator,x,
Emydidae,x,
Potamonidae,x,
,,
Reference,,
"Higham, C. 1977. Economic Change in Prehistoric Thailand. In Reed, C (ed.) Origins of Agriculture. The Hauge: Mouton Publishers. 385-412.",,
