"Gua Gunung Runtuh, Spits 1-18",NISP,
,Context,
Taxon,Spits 1-18,
Reptile,8,
Freshwater Turtle,1,
Tortoise,3,
Monitor Lizard,1,
Snake,1,
Mammal,1,
Hipposideros sp. ,8,
Primate,3,
Monkey,7,
Macaca sp. (two),11,
Presbytis sp. (two) ,3,
cf. Hystrix sp. ,1,
Rhizomys sp. ,2,
Civet,1,
Cuon alpinus,1,
Helarctos malayanus ,1,
Panthera tigris ,2,
Tapirus indicus ,1,
Sus scrofa ,26,
Tragulus napu ,1,
Muntiacus muntjak ,4,
Cervus unicolor,9,
Bos gaurus ,1,
,Spits 6-18,
Brotia costula/spinosa,"20,722",
,,
Reference,,
"Davidson, G. 1994. Some Remarks on Vertebrate Remains form the Excavation At Gua Gunung Runtuh, Perak. In Majid, Z (ed.) The Excavations of Gua Gunung Runtuh and the Discovery of the Perak Man in Malaysia. Kula Lumpur: Department of Museums and Antiquity. 141-148.",,
