"Gua Kechil, Pahang III",NISP,,,,,,,,,,,
Alcove Trench Context,,,,,,,,,,,,
Depth (inches),Achatina fulica,Cowrie Shells,Inedible Land Snail,Brotia costula,Pila ampullacea,Contradens sp.  ,,,,,,
0 to 2,9,,14,47,2,2,,,,,,
2 to 4,,2,18,158,8,4,,,,,,
4 to 6,,,5,152,8,9,,,,,,
6 to 8,,1,8,150,14,5,,,,,,
8 to 10,,1,2,162,5,4,,,,,,
10 to 12,,1,3,306,18,13,,,,,,
12 to 14,,,,378,11,13,,,,,,
14 to 16,,,5,342,5,6,,,,,,
16 to 18,,,,102,2,6,,,,,,
18 to 20,,,2,158,,31,,,,,,
20 to 22,,,11,118,,1,,,,,,
22 to 24,,,28,120,,1,,,,,,
24 to 26,,,17,38,,1,,,,,,
26 to 28,,,9,11,,1,,,,,,
28 to 30,,,,1,,,,,,,,
30 to 32,,,,4,,,,,,,,
32 to 34,,,,5,,,,,,,,
34 to 36,,,1,5,,,,,,,,
36 to 38,,,,,,,,,,,,
38 to 40,,,1,,,,,,,,,
,,,,,,,,,,,,
"Gua Kechil, Pahang III",NISP,,,,,,,,,,,
Alcove Trench Context,,,,,,,,,,,,
Depth (inches),Pisces ,Chelonian (Fresh Water) ,Squamata,Bird,Mammal,,,,,,,
0 to 2,,,1,2,37,,,,,,,
2 to 4,,,,2,116,,,,,,,
4 to 6,,,,,81,,,,,,,
6 to 8,3,,1,,182,,,,,,,
8 to 10,4,1,,,77,,,,,,,
10 to 12,,2,2,,103,,,,,,,
12 to 14,2,3,3,,160,,,,,,,
14 to 16,,7,2,1,170,,,,,,,
16 to 18,,3,2,,113,,,,,,,
18 to 20,,4,2,,121,,,,,,,
20 to 22,,,1,,92,,,,,,,
22 to 24,,2,5,,110,,,,,,,
24 to 26,,,,1,104,,,,,,,
26 to 28,,,1,,40,,,,,,,
28 to 30,,,,,4,,,,,,,
30 to 32,,,,,8,,,,,,,
32 to 34,,,,,8,,,,,,,
34 to 36,,,,,20,,,,,,,
36 to 38,,,,,17,,,,,,,
38 to 40,,,,,4,,,,,,,
,,,,,,,,,,,,
"Gua Kechil, Pahang III",NISP:MNI,,,,,,,,,,,
Alcove Trench Context,,,,,,,,,,,,
Depth (inches),"Fowl, sm. ","Passerine, sm. ",Rattus sp. ,Hystrix brachyura,Atherurus macrourus ,cf. Mustela sp. ,Cervus unicolor,Muntiacus muntjak ,Tragulus napu,Tragulus javanicus,Sus barbatus,Sus sp. 
0 to 2,,2:01,,,,,1:01,,,,3:01,1:01
2 to 4,,2:01,x,,,,,,1:01,,,1:01
4 to 6,,,,,,,,,,,2:01,1:01
6 to 8,,,,1:01,,,,,,,4:01,
8 to 10,,,,,,,2:01,,,,4:01,
10 to 12,,,,,,,,1:01,,1:01,,3:1/2:1/1:1
12 to 14,,,,,,,3:01,,,,,4:01
14 to 16,1:01,,,,,,,,,,1:01,
18 to 20,,,,,1:01,,,,,,,
20 to 22,,,,,,,,,,6:01,,1:01
24 to 26,1:01,,,,,1:01,,,,1:01,,
,,,,,,,,,,,,
Reference,,,,,,,,,,,,
"Dunn, F. 1964 Excavations at Gua Kechil, Pahang. Journal of the Malaysian Branch of the Royal Asiatic Society, 37(2): 87-124. ",,,,,,,,,,,,
"Medway, L. 1969. Excavations at Gua Kechil, Pahang III. Animal Remains. Journal of the Malaysian Branch of the Royal Asiatic Society, 42(2): 197-205. ",,,,,,,,,,,,
