Gua Peraling,NISP,,,
,Context,,,
Taxon,Neolithic,Hoabinhian,,
Unknown,28,63,,
Primate,,19,,
Monkey (Presbytis sp. ),,1,,
Macaque (Macaca sp.),4,26,,
Carnivore,,7,,
Leopard (Neofelis nebulosa),,1,,
Rhinoceros,,7,,
Pig (Sus sp.),47,15,,
Deer (Cervidae),1,15,,
Rodent,,6,,
Rat (Rattus sp.),1,5,,
Bamboo Rat (Rhizomys sumatrensis),,1,,
Reptile,1,1,,
Turtle,1,22,,
Lizard,1,1,,
Monitor Lizard (Varanus salvator),,14,,
Snake,,2,,
Python (Python reticulatus),,3,,
Frog,,31,,
Bird,8,5,,
Fish,2,35,,
Catfish (Pangasius sutchi),,5,,
Freshwater Baung (Nigripceps sp.),,1,,
Unidentified,16,266,,
,,,,
Reference,,,,
"Adi H.T. 27. Archaeology of Ulu Kelantan. Kuala Lumpur: Department of Museums Malaysia, Ministry of Culture, Arts and Heritage Malaysia.",,,,
