"Gua Sagu, Spits 5-11",NISP,
,Context,
Taxon,Spits 5-11,
Pisces ,8,
Cuora cf. ambionensis ,x,
Cyclemys cf. dentata,7,
Siebenrockielle crassicollis,1,
Geoemydidae,139,
Dogania subplana ,5,
Squamata ,3,
Varanus sp. ,9,
Aves ,x,
Macaca nemestrina,x,
Presbytis sp. ,2,
Sciuridae ,x,
Hystricidae ,3,
Hipposideros sp. ,2,
Miniopterus sp. ,x,
Pteropodidae,1,
Viverridae,1,
Panthera sp. ,1,
Dicerorhinus sumatrensis (?),x,
Sus sp. ,6,
Cervus unicolor ,7,
Cervidae ,11,
Tragulus sp. ,x,
Bos sp. ,4,
Capridae ,x,
,,
Reference,,
"Rabett, R. 2012 Human Adaptation in the Asian Palaeolithic: Hominin Dispersal and Behaviour during the Late Quaternary. Cambridge: Cambridge University Press.",,
,,
Gua Sagu ,NISP,
Context,,
Spit ,Brotia spinoza,"Marine Shell, unid. "
1,115,15
2,144,20
3,89,17
4,69,24
5,108,25
6,27,
7,18,
8,33,
9,,
10,,
11,,
,,
Reference,,
"Zuraina M., Haut A. and Ignatius, J. 1998. Late-Pleistocene-Holocene Sites in Pahang: Excavations of Gua Sagu and Gua Tenggek. Malaysia Museums Journal, 34: 65-115. ",,
