"Gua Tenggek, Spits 4-7",NISP,
,Context,
Taxon,Spits 4-7,
Pisces ,x,
Cyclemys/Heosemys ,1,
Cyclemys cf. dentata,x,
Geoemydidae,9,
Dogania subplana ,1,
Trionychidae ,x,
Squamata ,1,
Varanus sp. ,x,
Cercopithecidae ,x,
Rattus sp. ,x,
Sciuridae ,x,
Sus sp. ,x,
Cervidae ,x,
Tragulus sp. ,x,
Bos sp. ,1,
,,
Reference,,
"Rabett, R. 2012 Human Adaptation in the Asian Palaeolithic: Hominin Dispersal and Behaviour during the Late Quaternary. Cambridge: Cambridge University Press.",,
,,
Gua Tenggek,NISP,
Context,,
Spit ,Brotia spinoza,"Marine Shell, unid. "
1,247,
2,226,3
3,217,
4,103,
5,,
6,18,
7,29,
,,
Reference,,
"Zuraina M., Haut A. and Ignatius, J. 1998. Late-Pleistocene-Holocene Sites in Pahang: Excavations of Gua Sagu and Gua Tenggek. Malaysia Museums Journal, 34: 65-115. ",,
