Khao Toh Chong Rockshelter,NISP,,,,,,,,
,Context,,,,,,,,
Taxon,Surface,2,3,4,5,6,7H,8,7L
Neritidae ,,,,1,,,,,
Nerita balteata,,,,,1,1,,,
Cyclophorus sp.,,,,,,,7,,
Cyclophorus cf. saturnus ,,,,,,,,,1
Cyclophorus malayanus,,,,,,9,1,1,
Cyclophoridae ,,,2,3,2,12,20,5,27
Rhiostoma jalorensis,,,,2,5,11,5,2,2
Rhiostoma sp. ,,,,,,,9,,2
Filopaludina sp. ,,,,2,,,,,
Viviparidae ,,,1,,,,,,
Pila sp. ,,,,,,,6,,
Ampullariidae ,,,,,,1,2,,3
Neoradina prasongi,,,8,134,71,115,3390,545,583
Telescopium telescopium ,,,,3,3,3,5,,
Muricidae ,,,1,4,,1,,,
Plectopylis degerbolae,,,,1,,1,5,3,3
Amphidromus atricallosus ,,,,1,1,,1,,
"Gastrpoda, unid.",,,8,75,143,266,1176,255,834
Anadara sp. ,,,1,,,,,,
Arcidae ,,,,3,,1,,,
Pseudodon sp.,,,,1,9,,,,
Amblemidae ,,,,,1,66,191,18,367
Corbiculidae,,,,,,,1,,
"Bivalvia, unid.",1,,16,150,76,424,781,176,1103
Osteichthyes ,5,,,,,,2,,
Testudines ,21,1,43,17,11,43,32,4,43
Varanus sp. ,1,,3,7,6,14,2,2,4
Pythonidae ,,,,,,,,,1
Primates ,2,,1,,,1,,,2
Macaca sp. ,,,6,,,,8,1,2
Trachypithecus obscurus,,,,,,,2,,
Rodentia ,,,1,,,,3,,
Rattus andamanensis,,,,,,1,,,
Cannomys badius,,,,,,,,,2
Atherurus macrourus,,,,,,1,,,
Carnivora ,,,,,,,1,,
Tragulidae ,,,,,,,1,,
Rusa unicolor,,,,,,,1,,
Muntiacus muntjak,,,,,,,,2,3
Bovidae ,,,,,,,,,1
Mammalian/Reptilian Unid.,499,8,230,139,54,316,105,44,160
,,,,,,,,,
Reference,,,,,,,,,
"Van Vlack, H.G. 2014. Forager Subsistence Regimes in the Thai-Malay Peninsula: An Environmental Archaeological Case Study of Khao Toh Chong Rockshelter, Krabi. Available from ProQuest Dissertations & Theses A&I. (1622150080). Retrieved from http://search.proquest.com/docview/1622150080?accountid=14613",,,,,,,,,
