Lang Rongrien Rockshelter,NISP,,,,
,Context,,,,
Taxon,5,6,8,9,10
Mollusk,,,3,3,
Anadara granosa,,4,,,
Cerithidea sp. ,11,,,,
Gloina ceylonica,26*,8,,,
Meretrix lusoria,2,1,,,
"Mytilidae sp., inlc. Perna",13,3,,,
Pila sp. ,2,,,,
Polinices sp. ,4,,,,
Telescopium sp. ,6,9,,,
Axis porcinus,2,,,,
Bovidae,,,2,,3
Bos sp. ,4,2,,,
Canis sp. ,3,1,,,
Cervus unicolor,40,13,2,1,1
Cervus eldi/porcinus,9,11,5,1,
Elaphas sp. ,,,x,,
Gallus sp. ,28,4,,,
Muntiacus muntjak,12,3,1,,
Rhinoceros sp. ,,2,,,
Panthera pardus/Neofelis nebulosis,,,2,1,
Canidae,,,,,1
Sus sp. ,30,24,1,,
"Aves, unid. ",,6,1,1,2
AnatidaeDuck,,,1,,
"Deer, unid. ",1,9,4,2,1
Fish,2,,4,1,2
"Frog/Toad, unid. ",10,1,2,,
Hare (?),,1,,,
Lizard,2,,,,
"Rat, unid. ",36,2,,,
"Mammalian, sm. ",42,8,,,2
"Mammalian, md.",,,735,90,212
"Mammalian, lg.",,,50,4,38
"Snake, unid. ",3,,,,
"Squirrel, unid. ",9,,,,
"Tortoise/turtle, unid.** ",40,13,602,482,84
,,,,,
Reference,,,,,
"Anderson, D. 1990. Lang Rongrien Rockshelter: a Pleistocene, early Holocene archaeological site from Krabi, southwestern Thailand. Philadelphia: The University Museum.",,,,,
"Mudar, K. and Anderson, D. 2007. New Evidence for Southeast Asian Pleistocene Foraging Economies: Faunal Remains from the Early Levels of Lang Rongrien Rockshelter, Krabi, Thailand. Asian Perspectives, 46(2): 298334. ",,,,,
