Moh Khiew Cave I,MNI,,,,,
,Context,,,,,
Taxon,Surface,4+5,3,2,1,
Microchiroptera,,1,,,,
Hipposideros lylei,1,,,,,
Myotis sp. ,,1,,,,
Homo sp. ,,1,,,,
Hylobates sp. ,,1,1,,,
Trachypithecus sp.* ,1,16,5,2,1,
Macaca sp. ,1,4,2,1,1,
Carnivora ,,1,1,1,1,
Ursidae,1,1,1,,,
Helarctos malayanus,,,1,1,,
Martes flavigula,,,1,,,
Arctonyx collaris,,1,1,1,,
Paradoxurus hermaphroditus,,,1,,,
Arctogalidia trivirgata,,,,1,,
Aonyx cinera,,,,,1,
Cynocephalus variegatus,,1,,,1,
Tapirus indicus,,1,,,,
Rhinoceros sp. ,1,,,,,
Sus sp. ,1,2,1,1,1,
Cervidae,1,1,2,5,3,
Muntiacus muntjak,,1,1,1,2,
Tragulus javanicus,,1,1,1,,
Bovidae,1,1,,,,
Bos sp. ,,,1,1,,
Callosciurus sp. ,,,,1,,
Hylopates phayrei,1,,,,,
Petaurista petaurista,,,2,,,
Muridae,,,1,,1,
Leopoldamys sp. ,,,1,1,,
Rhizomys sp. ,1,4,3,2,1,
Hystrix sp. ,1,2,2,2,1,
Fish ,,3,5,9,1,
Turtle,,,1,,,
Lizard,1,1,,,,
Molluskb,,,,,,
Andanara granosa,,x,x,x,,
Brotia sp. (?) ,,x,x,x,,
Brotia spp. ,,x,x,x,,
Nerita sp./Nerita planospira,,x,x,x,,
Nautilus sp. ,,x,x,,,
Crassostrea sp. ,,x,x,x,,
Brotia (brotia) costura costura/Brotia (brotia) costura peninsularis,,x,x,,,
Uniandra contradens rusticoides/Uniandra sp./Pseudodon vendembuchinus chaperi,,x,x,x,,
Pila ampullacea,,x,x,x,,
Polymesoda (gelonia) galathea,,x,x,x,,
Cyclophorus speciosus,,x,x,x,,
Spiphonocyclus tener/Trocholeptopoma aspirans,,x,x,x,,
Amphidromus sp./Cerithidea (cerithidae) weyersi/Telescopum telescopium/ Filopaludina (siamopaludina) martensi/Thais sp./Pulmonata/Perna viridis/Crassostrea cucullata,,x,x,x,,
,,,,,,
Reference,,,,,,
"Chaimanee, Y. 1994. Mammalian Fauna from Archaeological Excavations at Moh Khiew Cave, Krabi Province and Sakai Cave, Trang Province, Southern Thailand. In Pookajorn, S (ed.) Final Report: The Hoabinhian Research Project of Thailand (Phase 2). Bangkok: Silpakorn University Press.",,,,,,
