Sakai Cave,MNI,,,
,Context,,,
Taxon,Surface,3,2,1
Homo sp. ,,1,1,1
Trachypithecus sp.* ,2,4,3,1
Macaca sp. ,1,,1,1
Carnivora ,,,,1
Arctonyx collaris,,1,,
Sus sp. ,,1,,
Ratufa bicolor,1,1,,
Hylopates phayrei,,1,,
Hystrix sp. ,,,,1
Fish ,x,x,x,
Turtle,x,x,x,
Mollusk,,,,
Brotia spp. ,,x,x,
Nerita planospira,,x,,
Brotia (brotia) costura peninsularis,,x,x,x
Pseudodon sp. ,,x,x,x
Pila angelica,,x,x,x
Polymesoda sp. ,,,x,
Cyclophorus speciosus,,x,x,x
Pulmonata,,,x,x
Rhiostoma housei/Cypraea sp./Perna sp. ,,x,x,x
,,,,
Reference,,,,
"Chaimanee, Y. 1994. Mammalian Fauna from Archaeological Excavations at Moh Khiew Cave, Krabi Province and Sakai Cave, Trang Province, Southern Thailand. In Pookajorn, S (ed.) Final Report: The Hoabinhian Research Project of Thailand (Phase 2). Bangkok: Silpakorn University Press.",,,,
