Spirit Cave,MNI,,,,,
,Context,,,,,
Taxon,1,2,3,4,5,
Bovine,,,1,,1,
Bat,2,5,8,5,,
Cervid,1,1,1,2,,
Rat,1,1,1,1,,
Big Lizard,7,12,4,7,,
Fish,2,8,5,3,,
Suid,2,2,1,,1,
Turtle,6,18,7,,,
Small Carnivore,,?,,,,
Rodent ,1,1,,,,
Snake,,1,1,,,
Bird,1,,2,,,
Ground Squirrel,1,,,,,
Primate,1,1,1,1,1,
Cyclophorus volvulus,x,,,,,
Cyclophorus siamensis,x,x,,x,x,
Rhiostoma sp. ,x,x,,,,
Aegista (Plestotropis) sp. ,x,,,,,
Ganesella sp. ,x,x,,,,
Margaritanopsis laosiensis,x,x,x,x,x,
Siphonocyclotus sp. ,,x,,,,
Megaustenia praestans?,,x,,,,
Centropodia (Arhtropoda),,x,,,,
,,,,,,
Reference,,,,,,
"Gorman, C. 1971. Prehistoric Research in Northern Thailand: A Cultural-Chronographic Sequence from the Late Pleistocene through to the Early Recent Period. Unpublished thesis (PhD), University of Hawaii. ",,,,,,
,,,,,,
Spirit Cave,Presence/Absence,,,,,
,Context,,,,,
Taxon,1,2,3,4,,
Sus scrofa jubatus,x,x,x,,,
Axis porcinus,,,x,x,,
Cervus unicolor,x,x,x,x,,
Presbytis sp. ,x,x,x,x,,
Macaca sp. ,x,x,x,x,,
Macaca assamensis ,,,x,,,
Presbytis obscura,x,x,,,,
Presbytis cristata,x,,,,,
Hylobates sp. ,x,x,x,x,,
Nycticebus coucang,,,,x,,
Paradoxurus hermaphroditus ,x,x,x,x,,
Hemigalus derbyanus,,x,,,,
Felis viverrina ,,,x,,,
Felis bengalensis ,x,,,,,
Arctonyz collaris ,x,x,x,x,,
Lutra sp. ,,,x,,,
Martes flavigula,,x,,x,,
Petaurista petaurista,,,x,,,
Cannomys badius,x,,,,,
Rhyzomys sumatrensis,,x,,x,,
Hystryx sp. ,,x,x,,,
Rattus sp. ,x,x,x,x,,
Callosciurus sp. ,x,,,,,
Hipposideros sp. ,x,x,x,x,,
Acrossocheilus sp. ,x,x,x,x,,
Agamidae,x,,,x,,
Emydidae,x,x,x,,,
Potamonidae,x,x,x,x,,
,,,,,,
Reference,,,,,,
"Higham, C. 1977. Economic Change in Prehistoric Thailand. In Reed, C (ed.) Origins of Agriculture. The Hauge: Mouton Publishers. 385-412.",,,,,,
