Tham Lod Rockshelter,NISP,,
,Context,,
Taxon,6 to 13,14 to 29,30 to 33
Muntiacus sp. ,18,28,
Cervus unicolor,406,1142,640
Naemorthedae,47,117,69
Bovidae,89,144,92
Bos sp. ,3,,
Sus scrofa,78,257,21
Carnivora,6,7,
Ursidae,5,83,5
Felidae,,1,
Rhinocerotidae,2,1,5
Primate,,10,
Cercopithecinae,4,6,
Colobinae,1,2,
Elephas maximus,1,8,
Rodentia,10,84,
Hystricidae,16,65,1
Rhizomyidae,2,52,3
Reptilia,2,16,1
Testudines,47,669,30
Serpentes,,4,
Varanidae,,1,
Osteichthyes ,4,22,1
Brachyura,,1,
,,,
Reference,,,
"Amphansri, A. 2011. Temporal and Spatial Analysis of Faunal Remains from Tham Lod Rockshelter Site, Pang Mapha District, Mae Hong Son Province. Unpublished thesis (MA), Silpakorn University.",,,
